video_id,category_id
--0bCF-iK2E,17
--14w5SOEUs,10
--40TEbZ9Is,24
--4tfbSyYDE,10
--DKkzWVh-E,27
--FmExEAsM8,10
--tbUe0JRc8,28
-024Swollbc,17
-0PZSxZuAXQ,24
-0QSEZIqVWc,20
-0Yxqcm0K2I,17
-0beFQnB5lY,24
-0dbirUY_uk,24
-0k6PPAC2SQ,25
-0kb-gs-GKc,22
-0pEMNPpDc4,1
-0tEKNK9J_s,24
-0wz7n-h71M,24
-0xLZpERmoI,10
-177nYc5pWk,22
-19EvIcr9ZA,10
-1UJO5PGGqM,17
-1jxmwecStY,17
-1oQLPRE21o,27
-1oWZTXDeeE,24
-29vlQ-KaUU,25
-2FGQctqx78,24
-2Gwm7QfBnE,22
-2X-pL06628,10
-2_qmj_X04o,17
-2_zzwi3Q2Y,2
-2dumMYHY3A,23
-2exRhKYqRk,22
-2qQNoUEBDc,24
-2u7PvvVBTQ,24
-2x4i4C_GG0,24
-36dal7u6BE,23
-3AikR9ZxJg,17
-3HBAvkc4a0,2
-3HjrdC0dAk,10
-3Z7TLK22Qw,10
-3uqCQ6_isc,20
-43UfQZSwWc,17
-4A3lQBM80o,28
-4FtvGpPNrk,10
-4n2JbVeJGM,17
-4sfXSHSxzA,26
-4vgLF7eFEQ,28
-4ypIQAeYmY,1
-4zAbl6SfrM,10
-555Hg5_Qqo,24
-5QgtwpKn_8,20
-5Rr3tf9Q6I,24
-5kfSfz3fxY,10
-5l4Xx5eCcs,10
-5q5mZbe3V8,10
-5qJjGtUvwk,10
-5tJ7M607kU,17
-64p7-s6yow,20
-6DdWId6TVM,10
-6Ildn2Dq2A,10
-6TO899eBVI,17
-6XRixsPmEs,24
-6iTos6hJn4,26
-6kFut3mpZg,22
-72guOUhhvQ,23
-764AryBzOA,28
-7GSlT2LNc0,19
-7QMtlNPWi4,25
-7THK7BO1yA,28
-7cnQFMSUos,28
-7ehhoj_SV4,17
-89ReJ8VnIM,17
-8GlFQYu9O8,20
-8vyheDh_zc,20
-8yLGesi16o,22
-9-8gvYantk,17
-90tQu_MblA,20
-92HQA0GcI8,27
-9DdW5VO5SA,24
-9Ry3-kZ_4M,20
-9WDEFtSU_M,24
-9cp6HN8zCo,20
-9fOoeMdJDI,24
-9iAwwZrxiY,24
-9jrmDP1crU,24
-9sAAgkZ5Sg,24
-A-rx5Ka5Tk,17
-A1J8rzJp8E,22
-A3NNl0rdWs,20
-AJD1Fc5rpQ,26
-ARdLKWyGfA,20
-AUuFtwJ2z0,17
-AfgQ0J_kDk,23
-AiCVO7iVN0,24
-Ak0QOsiRxk,24
-Al4Af4SZ5Y,24
-AuJiwjsmWk,24
-AuQZrUHjhg,24
-B-UGoktpzU,22
-B3Q9t8pgEA,24
-BCNFfGbDgY,28
-BCT3VDlkQc,17
-BCwcr606g0,24
-BSGU_I2isM,23
-Ba4QVAE4q0,24
-C-16oZxTbw,24
-CRjHBM9Qo8,28
-CVn3-3g_BI,10
-CWPIgK4G-k,17
-CfiruYpfsw,24
-CjNwVyojPA,24
-CqsZjYPz2k,17
-CwB5CLCQIw,24
-CxLh9jgLGs,25
-DBbq2FVjRI,25
-DOG36RlOL0,24
-Dkz19W9Dfw,20
-Dni-4sYQA0,23
-DvFZcC6v30,17
-DveLw6yyHw,24
-EHGY3CAG-4,17
-EMB8zI-mYM,24
-EWSX1caDV8,17
-Ee08uFurok,17
-EfxZxU-984,25
-En3A2-N9R8,10
-EoPafnCAE8,10
-F27KYuaE7Y,10
-FBwZtuJtMw,27
-FH2ecxzDJg,20
-FIB949Jigs,17
-FN756ewTZo,24
-FPbYnxVsgk,17
-FUQ6ZxTkM8,27
-FWea9-Fc7k,24
-FX018LY1To,25
-FmWuCgJmxo,24
-Fs_eXGeRzw,20
-FzpACJmHug,22
-Fzy5yoFZSU,10
-G15r96n3aY,10
-G3mOwOAwT8,10
-GJ6U0-3BJ4,17
-GNfxD-sLg4,17
-GQQ7TxvPUQ,22
-Gs3sXoxp3U,24
-Gyk5SRSNWA,23
-H30opsrvvs,20
-HJeSs2XquQ,17
-HK4rmBa7ho,20
-HKPerJclYM,10
-HM2ZATdqPQ,24
-HSvKgSHJ7c,10
-HVfBljdSWE,10
-HfHAazNM3Q,28
-Hv8OOAKBQY,22
-I-whVtW50E,20
-I0FjdwcSm0,10
-IBQvVxp0Wc,20
-II40k5YKwM,24
-ISA9_WihqI,10
-IStaH5mwuQ,17
-IZ33NK87ns,10
-Ih5UArd4zk,10
-Iktr62DFEY,24
-IvKQIQ9Fyk,24
-JFDRVORKbE,23
-JKn-GJ7TTQ,24
-JQz3DfuZLk,20
-JTgspdJNn8,24
-JhqO2KWr5U,24
-K0G7JXvXtU,10
-K0Jxsaocz4,17
-K6E6U58zGE,22
