video_id,category_id,category_name
--0bCF-iK2E,17,Sports
--14w5SOEUs,10,Music
--40TEbZ9Is,24,Entertainment
--4tfbSyYDE,10,Music
--DKkzWVh-E,27,Education
--FmExEAsM8,10,Music
--tbUe0JRc8,28,Science & Technology
-024Swollbc,17,Sports
-0PZSxZuAXQ,24,Entertainment
-0QSEZIqVWc,20,Gaming
-0Yxqcm0K2I,17,Sports
-0beFQnB5lY,24,Entertainment
-0dbirUY_uk,24,Entertainment
-0k6PPAC2SQ,25,News & Politics
-0kb-gs-GKc,22,People & Blogs
-0pEMNPpDc4,1,Film & Animation
-0tEKNK9J_s,24,Entertainment
-0wz7n-h71M,24,Entertainment
-0xLZpERmoI,10,Music
-177nYc5pWk,22,People & Blogs
-19EvIcr9ZA,10,Music
-1UJO5PGGqM,17,Sports
-1jxmwecStY,17,Sports
-1oQLPRE21o,27,Education
-1oWZTXDeeE,24,Entertainment
-29vlQ-KaUU,25,News & Politics
-2FGQctqx78,24,Entertainment
-2Gwm7QfBnE,22,People & Blogs
-2X-pL06628,10,Music
-2_qmj_X04o,17,Sports
-2_zzwi3Q2Y,2,Autos & Vehicles
-2dumMYHY3A,23,Comedy
-2exRhKYqRk,22,People & Blogs
-2qQNoUEBDc,24,Entertainment
-2u7PvvVBTQ,24,Entertainment
-2x4i4C_GG0,24,Entertainment
-36dal7u6BE,23,Comedy
-3AikR9ZxJg,17,Sports
-3HBAvkc4a0,2,Autos & Vehicles
-3HjrdC0dAk,10,Music
-3Z7TLK22Qw,10,Music
-3uqCQ6_isc,20,Gaming
-43UfQZSwWc,17,Sports
-4A3lQBM80o,28,Science & Technology
-4FtvGpPNrk,10,Music
-4n2JbVeJGM,17,Sports
-4sfXSHSxzA,26,Howto & Style
-4vgLF7eFEQ,28,Science & Technology
-4ypIQAeYmY,1,Film & Animation
-4zAbl6SfrM,10,Music
-555Hg5_Qqo,24,Entertainment
-5QgtwpKn_8,20,Gaming
-5Rr3tf9Q6I,24,Entertainment
-5kfSfz3fxY,10,Music
-5l4Xx5eCcs,10,Music
-5q5mZbe3V8,10,Music
-5qJjGtUvwk,10,Music
-5tJ7M607kU,17,Sports
-64p7-s6yow,20,Gaming
-6DdWId6TVM,10,Music
-6Ildn2Dq2A,10,Music
-6TO899eBVI,17,Sports
-6XRixsPmEs,24,Entertainment
-6iTos6hJn4,26,Howto & Style
-6kFut3mpZg,22,People & Blogs
-72guOUhhvQ,23,Comedy
-764AryBzOA,28,Science & Technology
-7GSlT2LNc0,19,Travel & Events
-7QMtlNPWi4,25,News & Politics
-7THK7BO1yA,28,Science & Technology
-7cnQFMSUos,28,Science & Technology
-7ehhoj_SV4,17,Sports
-89ReJ8VnIM,17,Sports
-8GlFQYu9O8,20,Gaming
-8vyheDh_zc,20,Gaming
-8yLGesi16o,22,People & Blogs
-9-8gvYantk,17,Sports
-90tQu_MblA,20,Gaming
-92HQA0GcI8,27,Education
-9DdW5VO5SA,24,Entertainment
-9Ry3-kZ_4M,20,Gaming
-9WDEFtSU_M,24,Entertainment
-9cp6HN8zCo,20,Gaming
-9fOoeMdJDI,24,Entertainment
-9iAwwZrxiY,24,Entertainment
-9jrmDP1crU,24,Entertainment
-9sAAgkZ5Sg,24,Entertainment
-A-rx5Ka5Tk,17,Sports
-A1J8rzJp8E,22,People & Blogs
-A3NNl0rdWs,20,Gaming
-AJD1Fc5rpQ,26,Howto & Style
-ARdLKWyGfA,20,Gaming
-AUuFtwJ2z0,17,Sports
-AfgQ0J_kDk,23,Comedy
-AiCVO7iVN0,24,Entertainment
-Ak0QOsiRxk,24,Entertainment
-Al4Af4SZ5Y,24,Entertainment
-AuJiwjsmWk,24,Entertainment
-AuQZrUHjhg,24,Entertainment
-B-UGoktpzU,22,People & Blogs
-B3Q9t8pgEA,24,Entertainment
-BCNFfGbDgY,28,Science & Technology
-BCT3VDlkQc,17,Sports
-BCwcr606g0,24,Entertainment
-BSGU_I2isM,23,Comedy
-Ba4QVAE4q0,24,Entertainment
-C-16oZxTbw,24,Entertainment
-CRjHBM9Qo8,28,Science & Technology
-CVn3-3g_BI,10,Music
-CWPIgK4G-k,17,Sports
-CfiruYpfsw,24,Entertainment
-CjNwVyojPA,24,Entertainment
-CqsZjYPz2k,17,Sports
-CwB5CLCQIw,24,Entertainment
-CxLh9jgLGs,25,News & Politics
-DBbq2FVjRI,25,News & Politics
-DOG36RlOL0,24,Entertainment
-Dkz19W9Dfw,20,Gaming
-Dni-4sYQA0,23,Comedy
-DvFZcC6v30,17,Sports
-DveLw6yyHw,24,Entertainment
-EHGY3CAG-4,17,Sports
-EMB8zI-mYM,24,Entertainment
-EWSX1caDV8,17,Sports
-Ee08uFurok,17,Sports
-EfxZxU-984,25,News & Politics
-En3A2-N9R8,10,Music
-EoPafnCAE8,10,Music
-F27KYuaE7Y,10,Music
-FBwZtuJtMw,27,Education
